sizeHeader,id,family,sizeData,size,dataCheckSum,headerCheckSum,version,offsetOfData,flags.posixTime,timeStamp,microSeconds,timestampPython,isValid,serialNumber,operationMode,ahrsData.roll,ahrsData.pitch,ahrsData.heading,ahrsData.quaternionW,ahrsData.quaternionX,ahrsData.quaternionY,ahrsData.quaternionZ,ahrsData.rotationMatrix_0,ahrsData.rotationMatrix_1,ahrsData.rotationMatrix_2,ahrsData.rotationMatrix_3,ahrsData.rotationMatrix_4,ahrsData.rotationMatrix_5,ahrsData.rotationMatrix_6,ahrsData.rotationMatrix_7,ahrsData.rotationMatrix_8,declination,depth,fomAhrs,fomFc1,fomIns,statusIns.latLonIsValid,courseOverGround,temperature,pressure,altitude,latitude,longitude,positionFrameX,positionFrameY,positionFrameZ,velocityNedX,velocityNedY,velocityNedZ,velocityNucleusX,velocityNucleusY,velocityNucleusZ,speedOverGround,turnRateX,turnRateY,turnRateZ,status.isValid,status.hasChecksumError,status.hasDataPathOverrun,status.hasFlashUpdateFailure,status.hasSpiComError,status.hasLowVoltage,status.hasSensorFailure,status.hasMemoryFailure,status.hasGyro1Failure,status.hasGyro2Failure,status.hasAccelerometerFailure,accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z,status.isCompensatedForHardIron,status.dvlActive,status.dvlAcousticsActive,status.dvlTransmitterActive,magnetometer.x,magnetometer.y,magnetometer.z,status.beam1VelocityValid,status.beam2VelocityValid,status.beam3VelocityValid,status.beam1DistanceValid,status.beam2DistanceValid,status.beam3DistanceValid,status.beam1FomValid,status.beam2FomValid,status.beam3FomValid,status.xVelocityValid,status.yVelocityValid,status.zVelocityValid,status.xFomValid,status.yFomValid,status.zFomValid,soundSpeed,velocityBeam1,velocityBeam2,velocityBeam3,distanceBeam1,distanceBeam2,distanceBeam3,fomBeam1,fomBeam2,fomBeam3,dtBeam1,dtBeam2,dtBeam3,timeVelBeam1,timeVelBeam2,timeVelBeam3,velocityX,velocityY,velocityZ,fomX,fomY,fomZ,dtXYZ,timeVelXYZ,status.altimeterDistanceValid,status.altimeterQualityValid,status.pressureValid,status.temperatureValid,altimeterDistance,altimeterQuality,fast_pressure,status.pointsUsedInEstimation,hardIron.x,hardIron.y,hardIron.z,sAxis_0,sAxis_1,sAxis_2,sAxis_3,sAxis_4,sAxis_5,sAxis_6,sAxis_7,sAxis_8,newPoint.x,newPoint.y,newPoint.z,fomFieldCalibration,coverage,string
10,130,32,44,54,30153,22184,1,16,True,1750682782,637053,1750682782.839532,,,,,,,,,,,,,,,,,,,,,,,,,,,37.400001525878906,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,-0.75694340467453,0.3252567946910858,-9.76538372039795,-0.003172180848196149,-0.00012542435433715582,0.00014592634397558868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,130,32,44,54,5833,63400,1,16,True,1750682782,647032,1750682782.839614,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,-0.7563371658325195,0.3471178710460663,-9.755011558532715,-0.00431803148239851,0.0015892331721261144,-0.0030336747877299786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,130,32,44,54,34040,26071,1,16,True,1750682782,657042,1750682782.840161,,,,,,,,,,,,,,,,,,,,,,,,,,,37.599998474121094,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,-0.7642922401428223,0.333749920129776,-9.742965698242188,-0.0019185610581189394,0.00017786068201530725,-0.002083279425278306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,130,32,44,54,1385,58952,1,16,True,1750682782,667021,1750682782.840262,,,,,,,,,,,,,,,,,,,,,,,,,,,37.599998474121094,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,-0.7667919993400574,0.338386207818985,-9.746562004089355,-6.548472447320819e-05,-0.005135818384587765,-0.0017445122357457876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,130,32,44,54,13196,5227,1,16,True,1750682782,677031,1750682782.840345,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,-0.7682710886001587,0.3309418559074402,-9.763625144958496,0.00014864318654872477,-0.00677577406167984,0.00014302994532044977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,130,32,44,54,58178,50209,1,16,True,1750682782,687041,1750682782.840416,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,-0.7643703818321228,0.32455238699913025,-9.770238876342773,-0.00227256934158504,-0.0018051674123853445,-0.0008850733865983784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,130,32,44,54,53504,45535,1,16,True,1750682782,697021,1750682782.840484,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,-0.7639303803443909,0.3318900465965271,-9.760766983032227,-0.0028115427121520042,0.003694492857903242,-0.0019070281414315104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,130,32,44,54,52135,44166,1,16,True,1750682782,707031,1750682782.913847,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,-0.7692059278488159,0.3367587625980377,-9.760842323303223,-0.001994490157812834,0.0021511439699679613,0.000584170687943697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,130,32,44,54,21259,13290,1,16,True,1750682782,717010,1750682782.913962,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,-0.7651482820510864,0.34439554810523987,-9.758217811584473,0.0008001207606866956,-0.00012587392120622098,0.0017901964019984007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,130,32,44,54,25036,17067,1,16,True,1750682782,727020,1750682782.914053,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,-0.7870880961418152,0.33702629804611206,-9.759848594665527,0.0013034649891778827,-0.0018263427773490548,0.002733992412686348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
